scale,spec,term,estimate,std.error,statistic,p.value,conf.low,conf.high,stars
score_60,A_growth_fdi,GDP_growth_pct,-0.00510408226157099,0.009567280751955762,-0.5334935175313636,0.5945202353634097,-0.02401565147936581,0.01380748695622383,
score_60,A_growth_fdi,FDI_pct_GDP,-0.0013380419926251363,8.413856245229665e-4,-1.590283876532541,0.11397920040883024,-0.0030012023920699686,3.251184068196961e-4,
score_21,A_growth_fdi,GDP_growth_pct,-5.451434221527995e-4,0.0033842093082869017,-0.16108442844179544,0.87225425619572206,-0.007234683558004893,0.006144396713699294,
score_21,A_growth_fdi,FDI_pct_GDP,-4.5712589779520093e-4,3.1188640853374334e-4,-1.4656807263396474,0.1449306666747515,-0.0010736293281841947,1.5937753259379284e-4,
score_20,A_growth_fdi,GDP_growth_pct,-5.451434221527967e-4,0.0033842093082869017,-0.1610844284417946,0.8722542561957227,-0.00723468355800489,0.006144396713699297,
score_20,A_growth_fdi,FDI_pct_GDP,-4.5712589779520066e-4,3.1188640853374334e-4,-1.4656807263396465,0.1449306666747517,-0.0010736293281841944,1.593775325937931e-4,
score_17,A_growth_fdi,GDP_growth_pct,-0.002219221760481214,0.003182704214070523,-0.6972755277321036,0.4867624462993838,-0.008510448348752683,0.004072004827790256,
score_17,A_growth_fdi,FDI_pct_GDP,-4.156119946549863e-4,2.96171893210817e-4,-1.4032796635403584,0.16270112034293108,-0.0010010526652109034,1.6982867590093094e-4,
score_16,A_growth_fdi,GDP_growth_pct,-0.0034546457766387708,0.002909440519753917,-1.187391786559351,0.23704174350011822,-0.009205714152377135,0.002296422599099593,
score_16,A_growth_fdi,FDI_pct_GDP,-3.9033804268663114e-4,2.8550072506584515e-4,-1.3672050836179395,0.17370630454733968,-9.546850984275856e-4,1.7400901305432323e-4,
score_basu60,A_growth_fdi,GDP_growth_pct,0.005104082261571006,0.009567280751955762,0.5334935175313654,0.5945202353634085,-0.013807486956223813,0.024015651479365827,
score_basu60,A_growth_fdi,FDI_pct_GDP,0.0013380419926251363,8.413856245229667e-4,1.5902838765325407,0.11397920040883038,-3.2511840681969653e-4,0.003001202392069969,
score_norm01,A_growth_fdi,GDP_growth_pct,-8.506803769284939e-5,1.594546791612152e-4,-0.5334935176586579,0.5945202352755448,-4.002608579142215e-4,2.3012478252852273e-4,
score_norm01,A_growth_fdi,FDI_pct_GDP,-2.2300699877085733e-5,1.4023093762295768e-5,-1.5902838742365228,0.11397920092641681,-5.00200399078537e-5,5.418640153682231e-6,
score_logPD,A_growth_fdi,GDP_growth_pct,-0.001409660416251533,0.0018928220350938269,-0.7447400707069941,0.45765104700849313,-0.00515118696509109,0.002331866132588023,
score_logPD,A_growth_fdi,FDI_pct_GDP,-2.7805854873752225e-4,2.018522863028544e-4,-1.3775347994836669,0.1704991161296401,-6.770583882066649e-4,1.2094129073162043e-4,
score_60,B_loggdppc,log_GDPpc,22.606514616927697,2.54574986047467,8.880100503162781,2.3346399941873688e-15,17.57494296112114,27.638086272734256,***
score_21,B_loggdppc,log_GDPpc,7.524410689918167,0.8632541228292013,8.716333337925922,6.0430197349893616e-15,5.818223823870106,9.230597555966227,***
score_20,B_loggdppc,log_GDPpc,7.524410689918167,0.8632541228292013,8.716333337925922,6.0430197349893616e-15,5.818223823870106,9.230597555966227,***
