scale,spec,regressor,coef,se,t,p,r2_within,r2_between,r2_overall,n_obs
score_60,A_growth_fdi,GDP_growth_pct,-0.005104082261570977,0.009771494696247298,-0.52234406508261,0.6014707735929612,-0.0010785348800705918,-0.0027780863224478036,-0.0025338272019768127,3066
score_60,A_growth_fdi,FDI_pct_GDP,-0.0013380419926251363,0.0008593450302766215,-1.5570486189865125,0.11956828580987255,-0.0010785348800705918,-0.0027780863224478036,-0.0025338272019768127,3066
score_60,B_loggdppc,log_GDPpc,22.567640240940396,2.596294685319406,8.692249138184419,0.0,-0.3392630319393888,-1.3881132996938597,-1.0794378191174645,3137
score_60,C_growth_loggdppc,GDP_growth_pct,-0.04075712828228166,0.011259499605929674,-3.6197992547392985,0.00029976783776253235,-0.3918646270663344,-1.5818579302471423,-1.2529946089926143,3136
score_60,C_growth_loggdppc,log_GDPpc,23.213568685049587,2.6977523578335525,8.604781168161555,0.0,-0.3918646270663344,-1.5818579302471423,-1.2529946089926143,3136
score_60,D_full,GDP_growth_pct,-0.04048158104708573,0.011326437456731914,-3.5740788930084397,0.0003572067275368074,-0.3699959127076029,-1.6096089900216182,-1.2726039520910306,3066
score_60,D_full,FDI_pct_GDP,-0.0014132991490075865,0.0006904231092613876,-2.047004409396912,0.04074781482821832,-0.3699959127076029,-1.6096089900216182,-1.2726039520910306,3066
score_60,D_full,log_GDPpc,23.252120933271357,2.7296481275541646,8.518358354893845,0.0,-0.3699959127076029,-1.6096089900216182,-1.2726039520910306,3066
score_21,A_growth_fdi,GDP_growth_pct,-0.0005451434221528001,0.003456445375052929,-0.15771793359947206,0.8746900714410644,-0.0005073770998773597,-0.0015642212044928439,-0.0013876397106493688,3066
score_21,A_growth_fdi,FDI_pct_GDP,-0.000457125897795198,0.00031854363489601105,-1.435049543351972,0.1513810389124064,-0.0005073770998773597,-0.0015642212044928439,-0.0013876397106493688,3066
score_21,B_loggdppc,log_GDPpc,7.511528433091206,0.8804101820476712,8.531850932960339,0.0,-0.32463146326125014,-0.8985750359105529,-0.6662474440826966,3137
score_21,C_growth_loggdppc,GDP_growth_pct,-0.012405805467453922,0.003922016630868954,-3.163119036725073,0.0015766840751512134,-0.3710031712728836,-1.0469674839411707,-0.8000984895065248,3136
score_21,C_growth_loggdppc,log_GDPpc,7.709188052670206,0.9146989487011823,8.428115134074213,0.0,-0.3710031712728836,-1.0469674839411707,-0.8000984895065248,3136
score_21,D_full,GDP_growth_pct,-0.012293612969305165,0.0039448858196360626,-3.1163418997103745,0.0018490611610280094,-0.3490682402738181,-1.0691411086193732,-0.8156991922987646,3066
score_21,D_full,FDI_pct_GDP,-0.00048211795320660306,0.0002563554325347607,-1.880662127732479,0.060118265626879275,-0.3490682402738181,-1.0691411086193732,-0.8156991922987646,3066
score_21,D_full,log_GDPpc,7.721767905284878,0.9251456068998059,8.346543341605202,2.220446049250313e-16,-0.3490682402738181,-1.0691411086193732,-0.8156991922987646,3066
score_20,A_growth_fdi,GDP_growth_pct,-0.0005451434221527974,0.00345644537505293,-0.15771793359947123,0.8746900714410653,-0.0005073770998773597,-0.0016852122804207337,-0.0014851916946023724,3066
score_20,A_growth_fdi,FDI_pct_GDP,-0.00045712589779519817,0.0003185436348960111,-1.4350495433519723,0.1513810389124064,-0.0005073770998773597,-0.0016852122804207337,-0.0014851916946023724,3066
score_20,B_loggdppc,log_GDPpc,7.511528433091206,0.8804101820476712,8.531850932960339,0.0,-0.32463146326125036,-1.4514349242509623,-1.1341258618145882,3137
score_20,C_growth_loggdppc,GDP_growth_pct,-0.012405805467453923,0.003922016630868954,-3.1631190367250737,0.0015766840751512134,-0.3710031712728836,-1.6328937575190658,-1.2966028949334256,3136
score_20,C_growth_loggdppc,log_GDPpc,7.709188052670206,0.9146989487011823,8.428115134074213,0.0,-0.3710031712728836,-1.6328937575190658,-1.2966028949334256,3136
score_20,D_full,GDP_growth_pct,-0.012293612969305161,0.0039448858196360626,-3.1163418997103736,0.0018490611610280094,-0.3490682402738181,-1.6629079723424627,-1.3181348899727259,3066
score_20,D_full,FDI_pct_GDP,-0.0004821179532066033,0.0002563554325347608,-1.880662127732479,0.060118265626879275,-0.3490682402738181,-1.6629079723424627,-1.3181348899727259,3066
score_20,D_full,log_GDPpc,7.721767905284878,0.9251456068998057,8.346543341605203,2.220446049250313e-16,-0.3490682402738181,-1.6629079723424627,-1.3181348899727259,3066
score_17,A_growth_fdi,GDP_growth_pct,-0.002219221760481219,0.0032506391475051774,-0.6827032038251439,0.4948490479730496,-0.0013298045794938318,-0.003942883098725369,-0.0035796364186699847,3066
score_17,A_growth_fdi,FDI_pct_GDP,-0.0004156119946549868,0.0003024936926905883,-1.3739525970219282,0.16956280277346814,-0.0013298045794938318,-0.003942883098725369,-0.0035796364186699847,3066
score_17,B_loggdppc,log_GDPpc,6.832844777251332,0.9361048073616403,7.29923051726369,3.6992631180510216e-13,-0.28800347857074016,-3.117670944179075,-2.478771495590029,3137
score_17,C_growth_loggdppc,GDP_growth_pct,-0.012922972089530643,0.0037961529680797922,-3.4042284908417346,0.000672335031722815,-0.33798233453429627,-3.4270714972448095,-2.748722767064145,3136
score_17,C_growth_loggdppc,log_GDPpc,7.037157602945158,0.9759313351502497,7.21070975947478,7.034373084024992e-13,-0.33798233453429627,-3.4270714972448095,-2.748722767064145,3136
score_17,D_full,GDP_growth_pct,-0.012896709305602926,0.0038180533180854517,-3.3778232599616844,0.000740282980940421,-0.314879540844877,-3.4371495295016503,-2.7492865417842536,3066
score_17,D_full,FDI_pct_GDP,-0.00043832579233827316,0.00024617693967562797,-1.7805314864821529,0.07509393599948111,-0.314879540844877,-3.4371495295016503,-2.7492865417842536,3066
score_17,D_full,log_GDPpc,7.017857117822135,0.9832093395838796,7.137703879819002,1.1948220191015935e-12,-0.314879540844877,-3.4371495295016503,-2.7492865417842536,3066
score_16,A_growth_fdi,GDP_growth_pct,-0.003454645776638775,0.0029715426300175153,-1.1625765492108764,0.2450972084528502,-0.0021234239681884315,-0.005616510654604667,-0.0051704031295527475,3066
score_16,A_growth_fdi,FDI_pct_GDP,-0.00039033804268663006,0.00029159474808591277,-1.3386319378139981,0.1807956702997513,-0.0021234239681884315,-0.005616510654604667,-0.0051704031295527475,3066
score_16,B_loggdppc,log_GDPpc,6.349784799950195,0.9594741451627661,6.6179842697824975,4.305178435970447e-11,-0.2570769229058676,-3.44199062526014,-2.7118580329545634,3137
score_16,C_growth_loggdppc,GDP_growth_pct,-0.013419925327407102,0.0036049557681044754,-3.7226324511780193,0.0002008256750258841,-0.30966999752199476,-3.8042831212932677,-3.0250765221968487,3136
