,rel_eq,rel_gdp,rel_gdp2008,rel_pop,rel_median,z_eq,z_gdp,pct_rank,norm_max,norm_min
rel_eq,1.0,0.997,0.993,0.992,0.997,0.999,0.998,0.991,0.986,0.988
rel_gdp,0.997,1.0,0.997,0.993,0.991,0.996,0.998,0.988,0.994,0.99
rel_gdp2008,0.993,0.997,1.0,0.998,0.983,0.992,0.994,0.985,0.998,0.992
rel_pop,0.992,0.993,0.998,1.0,0.981,0.991,0.991,0.983,0.996,0.992
rel_median,0.997,0.991,0.983,0.981,1.0,0.996,0.994,0.988,0.974,0.978
z_eq,0.999,0.996,0.992,0.991,0.996,1.0,0.998,0.992,0.985,0.989
z_gdp,0.998,0.998,0.994,0.991,0.994,0.998,1.0,0.99,0.989,0.989
pct_rank,0.991,0.988,0.985,0.983,0.988,0.992,0.99,1.0,0.978,0.982
norm_max,0.986,0.994,0.998,0.996,0.974,0.985,0.989,0.978,1.0,0.99
norm_min,0.988,0.99,0.992,0.992,0.978,0.989,0.989,0.982,0.99,1.0
