Country,Year,Value,LOO,M1,M2,M4
Angola,2000,48.1,60.46,38.267,10,0.1852
Argentina,2000,49.0,60.443,39.723,13,0.2407
Austria,2000,71.0,60.028,83.977,48,0.8889
Bangladesh,2000,66.6,60.111,73.789,34,0.6296
Belarus,2000,68.8,60.07,78.799,43,0.7963
Belgium,2000,66.9,60.106,74.462,37,0.6852
Bolivia,2000,38.4,60.643,24.315,1,0.0185
Canada,2000,66.6,60.111,73.789,34,0.6296
Chile,2000,47.2,60.477,36.838,9,0.1667
Colombia,2000,41.6,60.583,28.565,2,0.037
Costa Rica,2000,52.6,60.375,45.826,17,0.3148
Croatia,2000,68.7,60.072,78.568,42,0.7778
Denmark,2000,76.2,59.93,96.887,54,1.0
Dominican Republic,2000,48.5,60.453,38.911,11,0.2037
Ecuador,2000,43.7,60.543,31.542,5,0.0926
El Salvador,2000,48.5,60.453,38.911,11,0.2037
Estonia,2000,64.2,60.157,68.515,29,0.537
Swaziland,2000,46.9,60.483,36.367,8,0.1481
Finland,2000,72.8,59.994,88.339,51,0.9444
France,2000,67.4,60.096,75.591,40,0.7407
Georgia,2000,59.5,60.245,58.764,22,0.4074
Germany,2000,71.3,60.023,84.696,49,0.9074
Greece,2000,65.6,60.13,71.567,31,0.5741
Guatemala,2000,45.8,60.504,34.67,6,0.1111
Hungary,2000,72.8,59.994,88.339,51,0.9444
Indonesia,2000,69.7,60.053,80.897,45,0.8333
Ireland,2000,67.0,60.104,74.687,38,0.7037
Italy,2000,64.8,60.145,69.815,30,0.5556
Kyrgyzstan,2000,69.0,60.066,79.263,44,0.8148
Lithuania,2000,68.3,60.079,77.646,41,0.7593
Luxembourg,2000,69.9,60.049,81.367,46,0.8519
Mexico,2000,46.6,60.489,35.9,7,0.1296
Moldova,2000,63.6,60.168,67.228,27,0.5
Morocco,2000,59.4,60.247,58.565,21,0.3889
Macedonia,2000,65.7,60.128,71.788,32,0.5926
Norway,2000,72.6,59.998,87.849,50,0.9259
Panama,2000,43.4,60.549,31.108,4,0.0741
Peru,2000,50.9,60.408,42.889,14,0.2593
Philippines,2000,52.3,60.381,45.3,16,0.2963
Poland,2000,67.0,60.104,74.687,38,0.7037
Romania,2000,70.7,60.034,83.261,47,0.8704
Russia,2000,62.9,60.181,65.742,26,0.4815
Rwanda,2000,51.5,60.396,43.914,15,0.2778
South Africa,2000,42.2,60.572,29.401,3,0.0556
Spain,2000,65.9,60.125,72.23,33,0.6111
Sweden,2000,73.0,59.991,88.831,53,0.9815
Switzerland,2000,66.6,60.111,73.789,34,0.6296
Tanzania,2000,62.7,60.185,65.32,25,0.463
Thailand,2000,57.2,60.289,54.27,19,0.3519
Tunisia,2000,59.2,60.251,58.167,20,0.3704
United Kingdom,2000,61.1,60.215,61.998,24,0.4444
United States,2000,59.9,60.238,59.564,23,0.4259
Uruguay,2000,56.6,60.3,53.127,18,0.3333
Uzbekistan,2000,64.1,60.158,68.3,28,0.5185
Argentina,2001,46.7,59.787,36.478,7,0.1522
Armenia,2001,64.6,59.389,70.268,29,0.6304
Australia,2001,66.5,59.347,74.516,31,0.6739
Azerbaijan,2001,63.5,59.413,67.868,26,0.5652
Belarus,2001,69.4,59.282,81.245,39,0.8478
Bolivia,2001,42.6,59.878,30.308,2,0.0435
Bosnia and Herzegovina,2001,70.0,59.269,82.674,41,0.8913
Brazil,2001,41.6,59.9,28.891,1,0.0217
Bulgaria,2001,67.3,59.329,76.342,33,0.7174
Cape Verde,2001,47.5,59.769,37.75,9,0.1957
Cameroon,2001,57.9,59.538,56.307,17,0.3696
Canada,2001,66.4,59.349,74.289,30,0.6522
Colombia,2001,42.7,59.876,30.451,3,0.0652
Costa Rica,2001,48.5,59.747,39.37,10,0.2174
Croatia,2001,68.9,59.293,80.063,37,0.8043
Dominican Republic,2001,50.0,59.713,41.867,13,0.2826
El Salvador,2001,48.7,59.742,39.699,11,0.2391
Estonia,2001,64.0,59.402,68.954,27,0.587
France,2001,67.5,59.324,76.802,34,0.7391
Georgia,2001,60.4,59.482,61.332,21,0.4565
Germany,2001,70.1,59.267,82.914,42,0.913
Honduras,2001,44.6,59.833,33.245,5,0.1087
Hungary,2001,73.1,59.2,90.264,45,0.9783
Indonesia,2001,68.8,59.296,79.828,36,0.7826
Israel,2001,61.1,59.467,62.778,22,0.4783
Kazakhstan,2001,64.0,59.402,68.954,27,0.587
Kyrgyzstan,2001,69.8,59.273,82.196,40,0.8696
Lithuania,2001,68.0,59.313,77.959,35,0.7609
Luxembourg,2001,69.1,59.289,80.535,38,0.8261
Madagascar,2001,52.6,59.656,46.379,14,0.3043
Mali,2001,60.1,59.489,60.717,20,0.4348
Moldova,2001,62.0,59.447,64.663,23,0.5
Nicaragua,2001,47.1,59.778,37.111,8,0.1739
Pakistan,2001,71.3,59.24,85.815,44,0.9565
Panama,2001,43.3,59.862,31.32,4,0.087
Paraguay,2001,45.4,59.816,34.459,6,0.1304
Peru,2001,48.7,59.742,39.699,11,0.2391
Poland,2001,67.2,59.331,76.113,32,0.6957
Romania,2001,70.6,59.256,84.116,43,0.9348
Russia,2001,63.1,59.422,67.005,25,0.5435
Senegal,2001,58.8,59.518,58.091,18,0.3913
Sweden,2001,73.5,59.191,91.268,46,1.0
United Kingdom,2001,62.9,59.427,66.576,24,0.5217
United States,2001,59.4,59.504,59.296,19,0.413
Uruguay,2001,55.0,59.602,50.753,16,0.3478
Venezuela,2001,52.8,59.651,46.736,15,0.3261
Albania,2002,68.3,60.286,77.379,52,0.8
Argentina,2002,46.2,60.631,35.204,8,0.1231
Armenia,2002,65.2,60.334,70.458,40,0.6154
Azerbaijan,2002,74.7,60.186,92.714,65,1.0
Belarus,2002,69.7,60.264,80.613,55,0.8462
Bolivia,2002,40.7,60.717,27.282,2,0.0308
Botswana,2002,38.5,60.752,24.399,1,0.0154
Brazil,2002,41.9,60.698,28.923,3,0.0462
Canada,2002,66.4,60.316,73.098,44,0.6769
China,2002,58.0,60.447,55.652,21,0.3231
Colombia,2002,44.0,60.666,31.913,6,0.0923
Costa Rica,2002,48.2,60.6,38.337,11,0.1692
Ivory Coast,2002,58.7,60.436,57.014,24,0.3692
Czech Republic,2002,73.4,60.206,89.485,63,0.9692
Dominican Republic,2002,50.3,60.567,41.773,13,0.2
El Salvador,2002,48.1,60.602,38.177,10,0.1538
Estonia,2002,64.2,60.35,68.296,35,0.5385
Fiji,2002,61.9,60.386,63.452,30,0.4615
France,2002,68.2,60.288,77.151,51,0.7846
Georgia,2002,62.8,60.372,65.326,32,0.4923
Germany,2002,70.1,60.258,81.55,59,0.9077
Greece,2002,64.5,60.345,68.941,37,0.5692
Guinea,2002,57.0,60.462,53.736,19,0.2923
Honduras,2002,44.3,60.661,32.352,7,0.1077
Hungary,2002,73.2,60.209,88.993,62,0.9538
Indonesia,2002,69.8,60.262,80.847,57,0.8769
Ireland,2002,67.7,60.295,76.014,49,0.7538
Israel,2002,60.4,60.409,60.391,28,0.4308
Italy,2002,65.3,60.333,70.676,42,0.6462
Jamaica,2002,51.7,60.545,44.147,15,0.2308
Jordan,2002,63.0,60.369,65.746,33,0.5077
Kazakhstan,2002,65.2,60.334,70.458,40,0.6154
Kyrgyzstan,2002,69.7,60.264,80.613,55,0.8462
Laos,2002,67.4,60.3,75.336,48,0.7385
Latvia,2002,64.9,60.339,69.806,38,0.5846
Lithuania,2002,68.1,60.289,76.923,50,0.7692
Luxembourg,2002,68.9,60.277,78.757,54,0.8308
Maldives,2002,58.7,60.436,57.014,24,0.3692
Mexico,2002,49.4,60.581,40.282,12,0.1846
Moldova,2002,64.2,60.35,68.296,35,0.5385
Mongolia,2002,67.1,60.305,74.661,46,0.7077
Mozambique,2002,53.1,60.523,46.587,16,0.2462
Macedonia,2002,61.5,60.392,62.628,29,0.4462
Panama,2002,43.9,60.667,31.767,5,0.0769
Paraguay,2002,42.7,60.686,30.045,4,0.0615
Peru,2002,46.4,60.628,35.511,9,0.1385
Poland,2002,65.9,60.323,71.992,43,0.6615
Romania,2002,69.8,60.262,80.847,57,0.8769
Russia,2002,62.7,60.373,65.116,31,0.4769
Serbia,2002,67.3,60.302,75.111,47,0.7231
Slovenia,2002,70.9,60.245,83.439,60,0.9231
Sri Lanka,2002,59.8,60.419,59.188,27,0.4154
Sweden,2002,73.8,60.2,90.472,64,0.9846
Switzerland,2002,68.3,60.286,77.379,52,0.8
Thailand,2002,58.1,60.445,55.846,22,0.3385
Turkey,2002,58.6,60.438,56.818,23,0.3538
Uganda,2002,54.8,60.497,49.64,18,0.2769
Ukraine,2002,71.0,60.244,83.677,61,0.9385
United Kingdom,2002,64.9,60.339,69.806,38,0.5846
United States,2002,59.6,60.422,58.789,26,0.4
Uruguay,2002,54.5,60.502,49.094,17,0.2615
Uzbekistan,2002,67.0,60.306,74.437,45,0.6923
Venezuela,2002,51.1,60.555,43.122,14,0.2154
Vietnam,2002,63.0,60.369,65.746,33,0.5077
Zambia,2002,57.9,60.448,55.459,20,0.3077
