ISO3,Year,RuleOfLaw
AND,1996,0.991435
AFG,1996,-1.917095
AGO,1996,-1.570214
ALB,1996,-0.394601
ARE,1996,0.626891
ARG,1996,0.129367
ARM,1996,-0.263201
ATG,1996,0.979262
AUS,1996,1.690091
AUT,1996,1.84106
AZE,1996,-1.218928
BDI,1996,-1.247836
BEL,1996,1.399118
BEN,1996,0.087555
BFA,1996,-0.568381
BGD,1996,-0.920255
BGR,1996,-0.195131
BHR,1996,0.124989
BHS,1996,1.249071
BIH,1996,-0.307649
BLR,1996,-0.507449
BLZ,1996,0.384231
BMU,1996,1.062318
BOL,1996,-0.304672
BRA,1996,-0.340855
BRB,1996,0.776728
BRN,1996,1.052439
BTN,1996,-0.232011
BWA,1996,0.592662
CAF,1996,-1.216789
CAN,1996,1.754417
CHE,1996,1.961591
CHL,1996,1.190886
CHN,1996,-0.534532
CIV,1996,-0.806346
CMR,1996,-1.37748
COD,1996,-1.75356
COG,1996,-0.912102
COL,1996,-0.86962
COM,1996,-1.062266
CPV,1996,1.086688
CRI,1996,0.521428
CUB,1996,-1.08937
CYM,1996,1.317439
CYP,1996,0.859576
CZE,1996,0.798196
DEU,1996,1.697101
DJI,1996,-0.679712
DMA,1996,0.78397
DNK,1996,1.864166
DOM,1996,-0.599745
DZA,1996,-0.945862
ECU,1996,-0.405169
EGY,1996,0.015788
ERI,1996,-0.758339
ESP,1996,1.311673
EST,1996,0.673311
ETH,1996,-0.864953
FIN,1996,1.928974
FJI,1996,0.301193
FRA,1996,1.417755
FSM,1996,0.903856
GAB,1996,-0.674124
GBR,1996,1.65469
GEO,1996,-1.191669
GHA,1996,-0.288973
GIN,1996,-1.216593
GMB,1996,0.310337
GNB,1996,-1.876976
GNQ,1996,-1.487708
GRC,1996,0.993454
GRD,1996,0.393386
GTM,1996,-1.076137
GUF,1996,0.807197
GUY,1996,-0.028835
HKG,1996,1.01113
HND,1996,-0.93422
HRV,1996,-0.674912
HTI,1996,-1.394621
HUN,1996,0.865829
IDN,1996,-0.523817
IND,1996,0.218483
IRL,1996,1.512651
IRN,1996,-0.969251
IRQ,1996,-1.617606
ISL,1996,1.577544
ISR,1996,1.18098
ITA,1996,0.926585
JAM,1996,-0.166091
JOR,1996,0.230029
JPN,1996,1.386741
KAZ,1996,-1.42025
KEN,1996,-0.876217
KGZ,1996,-0.846602
KHM,1996,-1.249154
KIR,1996,0.903856
KNA,1996,0.903856
KOR,1996,0.78514
KWT,1996,0.78694
LAO,1996,-1.223422
LBN,1996,-0.232059
LBR,1996,-2.156648
LBY,1996,-1.265742
LCA,1996,0.903856
LIE,1996,1.369846
LKA,1996,0.12039
LSO,1996,0.099228
LTU,1996,0.405268
LUX,1996,1.70577
LVA,1996,0.062924
MAC,1996,0.041833
MAR,1996,0.436313
MCO,1996,0.903856
MDA,1996,-0.075142
MDG,1996,-0.307262
MDV,1996,-0.079675
MEX,1996,-0.686834
MHL,1996,-0.020633
MKD,1996,-0.446207
MLI,1996,-0.254908
MLT,1996,0.966436
MMR,1996,-1.504361
MNG,1996,0.237147
MOZ,1996,-0.7145
MRT,1996,-0.558798
MTQ,1996,1.062318
MUS,1996,0.805391
MWI,1996,-0.322957
MYS,1996,0.504357
NAM,1996,0.491766
NER,1996,-0.690375
NGA,1996,-1.135269
NIC,1996,-0.605705
NLD,1996,1.727061
NOR,1996,1.928833
NPL,1996,0.015098
NRU,1996,0.903856
NZL,1996,1.830987
OMN,1996,0.519986
PAK,1996,-0.456638
PAN,1996,-0.214868
PER,1996,-0.627918
PHL,1996,-0.0199
PLW,1996,0.903856
PNG,1996,-0.479018
POL,1996,0.657132
PRI,1996,0.807197
PRK,1996,-1.004964
PRT,1996,1.257156
PRY,1996,-0.495338
PSE,1996,-0.271256
QAT,1996,-0.012317
ROU,1996,-0.0366
RUS,1996,-0.867189
RWA,1996,-1.523448
SAU,1996,0.208554
SDN,1996,-1.659837
SEN,1996,-0.085383
SGP,1996,1.421437
SLB,1996,0.812929
SLE,1996,-1.238204
SLV,1996,-0.852566
SMR,1996,0.903856
SOM,1996,-2.308667
SRB,1996,-1.183366
STP,1996,0.160356
SUR,1996,-0.098846
SVK,1996,0.252207
SVN,1996,1.056344
SWE,1996,1.729134
SWZ,1996,-0.005537
SYC,1996,0.45894
SYR,1996,-0.557519
TCD,1996,-1.085614
TGO,1996,-0.889087
THA,1996,0.608809
TJK,1996,-1.816677
TKM,1996,-1.576807
TON,1996,0.903856
TTO,1996,0.755214
TUN,1996,-0.253765
TUR,1996,-0.127857
TUV,1996,0.903856
TWN,1996,0.843376
TZA,1996,-0.203551
UGA,1996,-0.399036
UKR,1996,-0.906503
URY,1996,0.541795
USA,1996,1.535591
UZB,1996,-1.327461
VCT,1996,0.903856
VEN,1996,-0.78666
VNM,1996,-0.679393
VUT,1996,0.368646
WSM,1996,0.727311
YEM,1996,-1.199879
ZAF,1996,-0.011607
ZMB,1996,-0.459904
ZWE,1996,-0.651303
AND,1998,0.982442
AFG,1998,-1.910216
AGO,1998,-1.462664
ALB,1998,-0.871855
ARE,1998,0.533522
ARG,1998,0.034153
ARM,1998,-0.098939
ATG,1998,0.970269
AUS,1998,1.727588
AUT,1998,1.802892
AZE,1998,-1.005931
BDI,1998,-1.241544
BEL,1998,1.198243
BEN,1998,0.078282
BFA,1998,-0.572053
BGD,1998,-0.923208
BGR,1998,-0.150842
BHR,1998,0.305484
BHS,1998,1.245036
BIH,1998,-0.654109
BLR,1998,-0.769301
BLZ,1998,-0.028547
BMU,1998,1.05057
BOL,1998,-0.252239
BRA,1998,-0.3698
BRB,1998,1.135785
BRN,1998,0.780488
BTN,1998,-0.202867
BWA,1998,0.590495
CAF,1998,-1.224161
CAN,1998,1.744939
CHE,1998,1.939027
CHL,1998,1.110854
CHN,1998,-0.496682
CIV,1998,-0.978993
CMR,1998,-1.163799
COD,1998,-2.082076
COG,1998,-1.600497
COL,1998,-0.797549
COM,1998,-0.992152
CPV,1998,0.811149
CRI,1998,0.453511
CUB,1998,-1.004465
CYM,1998,1.305692
CYP,1998,0.993834
CZE,1998,0.731967
DEU,1998,1.68103
DJI,1998,-0.677714
DMA,1998,0.774977
DNK,1998,1.848855
DOM,1998,-0.667573
DZA,1998,-1.101021
ECU,1998,-0.53907
EGY,1998,-0.182763
ERI,1998,-0.780851
ESP,1998,1.100583
EST,1998,0.647593
ETH,1998,-0.867121
FIN,1998,1.933259
FJI,1998,0.305339
FRA,1998,1.249806
FSM,1998,0.881886
GAB,1998,-0.546468
GBR,1998,1.708639
GEO,1998,-1.163857
GHA,1998,-0.497301
GIN,1998,-1.221153
GMB,1998,0.33506
GNB,1998,-1.808784
GNQ,1998,-1.528694
GRC,1998,0.721824
GRD,1998,0.384393
GTM,1998,-1.165826
GUF,1998,0.795449
GUY,1998,-0.191917
HKG,1998,1.041621
HND,1998,-1.032001
HRV,1998,-0.423844
HTI,1998,-1.579757
HUN,1998,0.853746
IDN,1998,-0.914044
IND,1998,0.195329
IRL,1998,1.601545
IRN,1998,-0.821694
IRQ,1998,-1.619773
ISL,1998,1.646518
ISR,1998,0.937517
ITA,1998,0.778789
JAM,1998,-0.168258
JOR,1998,0.234744
JPN,1998,1.304896
KAZ,1998,-1.13825
KEN,1998,-1.095987
KGZ,1998,-0.817021
KHM,1998,-1.253611
KIR,1998,0.881886
KNA,1998,0.881886
KOR,1998,0.687271
KWT,1998,0.675055
LAO,1998,-1.227865
LBN,1998,-0.371957
LBR,1998,-1.918315
LBY,1998,-1.26791
LCA,1998,0.881886
LIE,1998,1.360853
LKA,1998,-0.078044
LSO,1998,0.089418
LTU,1998,0.41867
LUX,1998,1.707363
LVA,1998,0.175233
MAC,1998,0.030085
MAR,1998,0.252351
MCO,1998,0.881886
MDA,1998,0.059412
MDG,1998,-0.370387
MDV,1998,-0.397251
MEX,1998,-0.662064
MHL,1998,-0.042603
MKD,1998,-0.463529
MLI,1998,-0.264792
MLT,1998,1.263245
MMR,1998,-1.506528
MNE,1998,-0.272792
MNG,1998,0.234806
MOZ,1998,-0.717977
MRT,1998,-0.563241
MTQ,1998,1.05057
MUS,1998,0.995309
MWI,1998,-0.412197
MYS,1998,0.201898
NAM,1998,0.359775
NER,1998,-0.69316
NGA,1998,-1.133246
NIC,1998,-0.695495
NLD,1998,1.763315
NOR,1998,1.933866
NPL,1998,0.015486
NRU,1998,0.881886
NZL,1998,1.823761
OMN,1998,0.4712
PAK,1998,-0.850478
PAN,1998,-0.214869
PER,1998,-0.619831
PHL,1998,0.005364
PLW,1998,0.881886
PNG,1998,-0.524459
POL,1998,0.677879
PRI,1998,0.795449
PRK,1998,-1.008636
PRT,1998,1.135021
PRY,1998,-0.807396
PSE,1998,-0.277075
QAT,1998,0.19526
ROU,1998,-0.158868
RUS,1998,-0.935213
RWA,1998,-1.518229
SAU,1998,0.029044
SDN,1998,-1.662004
SEN,1998,-0.047474
SGP,1998,1.364345
SLB,1998,0.776189
SLE,1998,-1.102562
SLV,1998,-0.6995
SMR,1998,0.881886
SOM,1998,-2.315045
SRB,1998,-1.279502
STP,1998,0.152985
SUR,1998,-0.102518
SVK,1998,0.205305
SVN,1998,1.23532
SWE,1998,1.677718
SWZ,1998,-0.210871
SYC,1998,0.451568
SYR,1998,-0.559163
TCD,1998,-1.090056
TGO,1998,-0.844475
THA,1998,0.518261
TJK,1998,-1.418469
TKM,1998,-1.30142
TON,1998,0.881886
TTO,1998,0.709772
TUN,1998,-0.255932
TUR,1998,-0.188179
TUV,1998,0.881886
TWN,1998,0.742081
TZA,1998,-0.205719
UGA,1998,-0.574301
UKR,1998,-1.083545
URY,1998,0.525321
USA,1998,1.596933
UZB,1998,-1.19914
VCT,1998,0.881886
VEN,1998,-0.760116
VNM,1998,-0.586445
VUT,1998,0.354354
WSM,1998,0.722327
YEM,1998,-1.34954
ZAF,1998,-0.00818
ZMB,1998,-0.462072
ZWE,1998,-0.928133
AND,2000,0.976528
AFG,2000,-1.915064
