Country,Year,ISO3,Shadow_S&P,Shadow_Moody's,Shadow_DBRS,Actual_S&P,Actual_Moody's,Actual_DBRS,Gap_S&P,Gap_Moody's,Gap_DBRS
Macedonia,2025,MKD,35.46071240631003,35.33964510698335,38.491252526523475,24.0,,,-11.46071240631003,,
Brazil,2025,BRA,35.581862014868555,35.44800806136798,38.97594656656198,27.0,30.0,27.0,-8.581862014868555,-5.448008061367979,-11.97594656656198
Kazakhstan,2025,KAZ,35.48850561512114,35.36450490021286,38.602447294914185,33.0,39.0,,-2.4885056151211415,3.6354950997871427,
Moldova,2025,MDA,35.415785332703145,35.29945983122535,38.31150877767669,24.0,15.0,,-11.415785332703145,-20.29945983122535,
Venezuela,2025,VEN,35.42964982212516,35.31186100241096,38.366977676594196,,1.0,,,-34.31186100241096,
Argentina,2025,ARG,35.92282037767159,35.752980202467675,40.340049086728875,12.0,12.0,15.0,-23.92282037767159,-23.752980202467675,-25.340049086728875
Angola,2025,AGO,35.334655714813394,35.22689298443787,37.986926282284095,15.0,15.0,,-20.334655714813394,-20.226892984437868,
Indonesia,2025,IDN,35.93661746195732,35.7653210827469,40.39524831190814,36.0,36.0,,0.06338253804268135,0.23467891725309897,
Latvia,2025,LVA,35.63351574018617,35.49421002889382,39.182602230621676,45.0,42.0,45.0,9.36648425981383,6.505789971106182,5.817397769378324
Liechtenstein,2025,LIE,35.02006713617882,34.945507446324164,36.728323708634775,60.0,,,24.979932863821183,,
Vietnam,2025,VNM,35.71547386484067,35.56751793825528,39.51049940689341,30.0,27.0,,-5.715473864840668,-8.567517938255278,
Albania,2025,ALB,35.21314658958439,35.118208458328596,37.50079389184932,27.0,24.0,,-8.21314658958439,-11.118208458328596,
Bulgaria,2025,BGR,35.594729553177345,35.459517503976905,39.027426874277744,39.0,39.0,39.0,3.405270446822655,3.5404824960230954,-0.027426874277743707
Montenegro,2025,MNE,35.19528463327692,35.10223173021864,37.42933197076952,21.0,24.0,,-14.19528463327692,-11.10223173021864,
Mongolia,2025,MNG,35.36015071364635,35.24969713071983,38.08892639711856,24.0,21.0,,-11.360150713646348,-14.24969713071983,
Papua New Guinea,2025,PNG,35.82259214191151,35.66333048862254,39.93905704808751,15.0,18.0,,-20.822592141911507,-17.66333048862254,
Ukraine,2025,UKR,35.627558399569665,35.48888145179678,39.15876816689125,0.0,3.0,,-35.627558399569665,-32.48888145179678,
