Country,Years,Avg_Actual,Avg_Shadow,Avg_Residual,RMSE,MaxAbsResid,TrendResid,Continent,IncomeGroup
St Vincent and The Grenadines,19,17.210526315789473,34.129692173018874,-16.919165857229405,17.27692248684527,23.576107674284785,-0.3668292180929041,North_America,Upper_Middle_Income
Barbados,26,27.51923076923077,43.760848605456964,-16.241617836226215,19.08925166670503,39.68968602706417,-0.7436699178777973,North_America,High_Income
Cuba,23,10.304347826086957,24.241261100025845,-13.936913273938892,14.782297837276882,24.051735126570915,-0.756226658749047,North_America,Upper_Middle_Income
Cape Verde,18,18.333333333333332,32.255816580827656,-13.922483247494322,14.242815642858332,17.619311043005588,-0.23016510456408124,Africa,Lower_Middle_Income
Belize,26,14.76923076923077,28.217062881082466,-13.447832111851694,14.950259712234503,30.27894206039742,-0.4176061409372733,North_America,Upper_Middle_Income
Maldives,10,14.4,26.288521788479084,-11.888521788479082,13.769545545329917,21.002926904952517,-1.432350090028172,Asia,Upper_Middle_Income
Argentina,26,11.596153846153847,23.113586569800216,-11.51743272364637,12.885847262709222,21.921730427015667,-0.37569856261222895,South_America,Upper_Middle_Income
Gabon,14,16.714285714285715,28.2031371396528,-11.488851425367086,12.614645336410533,19.304119548989565,-0.8471502250238008,Africa,Upper_Middle_Income
Andorra,23,43.76086956521739,54.989406613273836,-11.228537048056454,14.303736172025173,23.42441771881856,-0.7141674980914704,Europe,High_Income
Solomon Islands,11,13.636363636363637,24.863997326811674,-11.227633690448046,11.375325386388793,14.19923425648831,-0.3968212844634305,Oceania,Lower_Middle_Income
Ecuador,26,12.23076923076923,22.98475674507656,-10.753987514307333,11.729247751357592,20.68555104294152,-0.6482854819749845,South_America,Upper_Middle_Income
Aruba,15,38.3,48.75435997692612,-10.45435997692611,10.979828384954711,15.654334827278973,-0.6361102113936445,North_America,High_Income
Ghana,16,13.96875,24.341479587226633,-10.372729587226633,12.257345307826403,24.251799935168776,-0.5855646200736548,Africa,Lower_Middle_Income
