n_obs,RMSE,MAE,Bias_actual_minus_shadow,R2,Spearman,Pearson,Within_3pts,Within_6pts,Country
26,0.6175043350207814,0.3149729779094827,0.3149729779094827,-inf,,,1.0,1.0,Norway
26,0.9953806996291946,0.5181765294979827,0.5181765294979827,-inf,,,0.9615384615384616,1.0,Switzerland
26,1.0866440421184866,0.5447051253406904,0.5447051253406904,-inf,,,0.9615384615384616,1.0,Luxembourg
26,1.22181961190825,1.0015867159833702,-0.2537135250922266,0.7387790127759033,0.8588288002905236,0.8664402927205529,1.0,1.0,Israel
7,1.2486030220866706,1.006780311370169,-0.8753470918027249,-4.658627098624769,-0.20412414523193148,-0.02878058961460527,1.0,1.0,Togo
6,1.4525441879891567,1.208662041649572,0.2690665618089903,-0.05494230903053943,0.0,0.09831454948177208,1.0,1.0,Tanzania
14,1.5568840976093603,1.2477487164141234,0.9353237596541658,-1.8924326715630255,0.513558469557644,0.39270211568635033,0.9285714285714286,1.0,Rwanda
9,1.6062176982453005,1.3427688336952488,1.2802432070394625,-0.719956862770954,0.5976143046671969,0.6128773215801755,0.8888888888888888,1.0,Benin
26,1.8060392301905208,1.3886645271215898,0.5644141148385109,-1.4499574731859184,0.12004572528143008,-0.05457362908649427,0.8846153846153846,1.0,Senegal
9,1.9006709744156203,1.6294761593447764,0.6494374552712073,-8.289414679106917,0.3105295017040594,0.2536665549198823,1.0,1.0,Tajikistan
26,2.2526700274933043,1.7169647796341674,-1.2798101272313884,-0.16205184379074455,0.5296833351771939,0.5349670761031785,0.8461538461538461,0.9615384615384616,Mauritius
26,2.2744034029183773,1.6822188047757685,1.6822188047757685,-61.16689292984405,0.3339045991051966,0.4820511252217391,0.7692307692307693,1.0,Denmark
22,2.580759704957082,2.0337677544490886,0.2926137660815778,-0.2059839868647213,0.3406632777114654,0.30976773167256183,0.7727272727272727,1.0,Burkina Faso
26,2.682440521053932,2.2447694731029477,1.9558874586233768,-2.7882782809335303,-0.3406499309553008,-0.3911382501797669,0.6153846153846154,1.0,Finland
23,2.776923265266587,2.4107282641746126,0.8088683088340592,0.03047434523978465,0.40087113597194945,0.33693222880088647,0.782608695652174,0.9565217391304348,Cameroon
26,2.777291431040635,2.263959248068004,1.385365533541426,0.3492186289217316,0.710647867050629,0.7166559613959937,0.6923076923076923,1.0,Panama
26,2.8335064556265253,2.691475427122771,2.691475427122771,-9.768732086976549,0.5883484054145521,0.7095590943991447,0.6153846153846154,1.0,Sweden
26,2.92538049966723,2.6422313994632836,-1.3273361518447397,0.620480716260948,0.9028854246563414,0.8887507476567688,0.5769230769230769,1.0,Brazil
26,3.0242791625367826,2.6025703632412913,-0.14296607302965517,-0.22239517006663245,0.26305953905815666,0.06799127032877293,0.6153846153846154,0.9615384615384616,Nicaragua
20,3.205056060142817,2.886991892961025,1.5938846624659209,0.25032772496564926,0.7292636525305568,0.6750556827076996,0.55,1.0,Nigeria
26,3.308124058503172,2.601114048251687,2.601114048251687,-67.4993603299862,0.4618802153517006,0.6488367851287414,0.6923076923076923,0.8846153846153846,Singapore
26,3.3223971014395635,3.016461048136452,2.996648688138191,-inf,,,0.38461538461538464,0.9615384615384616,Cayman Islands
26,3.3528651350652705,3.0243275313828155,-2.068046513394848,0.6437770935501668,0.750217732623383,0.89086074243237,0.38461538461538464,1.0,Romania
26,3.508438373771534,2.7491288423823836,0.45923726524622277,-0.4289848050911196,-0.05224236616039903,-0.06328811233181902,0.6153846153846154,0.9230769230769231,Pakistan
26,3.5414182115953268,2.2184770422737614,2.2184770422737614,-inf,,,0.7307692307692307,0.8461538461538461,Liechtenstein
26,3.541616648568131,3.008708846711787,3.008708846711787,-1.6917780241715916,0.6130719315686961,0.5674419375656161,0.4230769230769231,0.9230769230769231,Honduras
11,3.5988100857978287,3.4345080993234194,3.4345080993234194,-8.673601963397909,0.29814239699997197,0.3944169266916549,0.45454545454545453,0.9090909090909091,Ivory Coast
