resourceIdentifier,resourceName,proponent,protocolCategories,protocolSubCategories,protocols,resourceStatus,country,region,estAnnualEmissionReductions,version,projectRegistrationDate,creditingPeriodStartDate,creditingPeriodEndDate,createDate
6003,Arona 1,ARONA S.A.S.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Uruguay,Latin America,29442,VCS Version 3,,2025-06-30,2045-06-29,2026-04-21
5992,"ATMANIRBHAR KRISHAK PLANTATION PROJECT (KHARGONE, M.P.)",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,Asia,339097,VCS Version 3,,,,2026-04-16
5990,"ATMANIRBHAR KRISHAK PLANTATION PROJECT (KHANDWA, M.P.)",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,Asia,354025,VCS Version 3,,2025-06-16,2057-06-15,2026-04-15
5988,Certified Livestock Emissions Abatement with Rumin8 in Beef Confinement,Rumin8 Pty Ltd,"Livestock, enteric fermentation, and manure management",,VM0041,Under development,United States,North America,587000,VCS Version 3,,,,2026-04-13
5985,Topraq Carbon Management Project in Northern Kazakhstan,Valor Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Kazakhstan,Asia,38000,VCS Version 3,,,,2026-04-10
5976,Venture Carbon Tropical Agricultural Soil Carbon Removal Project in Brazil,VENTURE CARBON LTDA,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,Latin America,696686,VCS Version 3,,2025-01-29,2045-01-28,2026-04-02
5977,Electric Mobility Program Chile VCS,Zeroca B.V.,Transport,,VMR0014; VM0038,Under validation,Chile,Latin America,990000,VCS Version 3,,2025-01-01,2034-12-31,2026-04-02
5974,CHANGU-CHANGU MOTO IMPROVED COOKSTOVES CARBON PROJECT IN MULANJE DISTRICT IN SOUTHERN MALAWI,Mulanje Mission Hospital (MMH),Energy demand,,VM0050,Under validation,Malawi,Africa,50903,VCS Version 3,,2024-11-01,2031-10-31,2026-03-31
5970,Respira Patagonia,Gestión de inversiones Plan-C SPA,"Agriculture Forestry and Other Land Use; Livestock, enteric fermentation, and manure management",ALM,VM0042,Under validation,Chile,Latin America,867709,VCS Version 3,,2024-12-13,2044-12-12,2026-03-25
5962,"Recovery and Avoidance of methane from Industrial wastewater treatment  project at Agro Muara Rupit mill, Indonesia.",KNOWLEDGE INTEGRATION SERVICES SINGAPORE PTE. LTD.,Waste handling and disposal,,AMS-III.H.,Under validation,Indonesia,Asia,56373,VCS Version 3,,,,2026-03-21
