resourceIdentifier,resourceName,country,protocols,protocolSubCategories,estAnnualEmissionReductions,M4_tight,n_tight,M4_methodology,n_methodology,M4_subcat,n_subcat,M4_range
6003,Arona 1,Uruguay,VM0047,ARR,29442,1.0,2,0.30337078651685395,178,0.41323792486583183,559.0,0.696629213483146
5992,"ATMANIRBHAR KRISHAK PLANTATION PROJECT (KHARGONE, M.P.)",India,VM0047,ARR,339097,0.8918918918918919,37,0.8258426966292135,178,0.8372093023255814,559.0,0.06604919526267838
5990,"ATMANIRBHAR KRISHAK PLANTATION PROJECT (KHANDWA, M.P.)",India,VM0047,ARR,354025,0.918918918918919,37,0.8370786516853933,178,0.8479427549194991,559.0,0.08184026723352567
5985,Topraq Carbon Management Project in Northern Kazakhstan,Kazakhstan,VM0042,ALM,38000,0.2,5,0.2171945701357466,221,0.11974110032362459,618.0,0.09745346981212202
5976,Venture Carbon Tropical Agricultural Soil Carbon Removal Project in Brazil,Brazil,VM0042,ALM,696686,0.4,15,0.7963800904977375,221,0.901294498381877,618.0,0.501294498381877
5957,KENYA HIGHLANDS GROUPED CARBON PROJECT,Kenya,VM0042,ALM,191805,0.5714285714285714,7,0.5429864253393665,221,0.7378640776699029,618.0,0.19487765233053644
5956,AgriCapture Southeast Asia Rice Methane Project,Indonesia,VM0051,ALM,53142,1.0,1,0.375,8,0.17718446601941748,618.0,0.8228155339805825
5953,MARCONDES REDD+,Brazil,VM0007,REDD,250213,0.4473684210526316,38,0.4661016949152542,118,0.5080385852090032,311.0,0.060670164156371664
5949,Gran Pajonal REDD+ and Agroforestry Project,Peru,VM0048,REDD,129252,0.5,6,0.3448275862068966,29,0.33440514469453375,311.0,0.16559485530546625
5939,ALGARROBAL,Argentina,VM0047,ARR,43000,0.6153846153846154,13,0.34831460674157305,178,0.4776386404293381,559.0,0.26707000864304237
5932,THAILAND CARBON PROGRAM OF IMPROVED AGRICULTURAL LAND MANAGEMENT IN THE AREAS OF THE NORTHEAST PROJECT,Thailand,VM0042,ALM,176000,1.0,1,0.5294117647058824,221,0.7281553398058253,618.0,0.47058823529411764
5929,Agricentric Carbon Initiative,Kenya,VM0042,ALM,75000,0.2857142857142857,7,0.2986425339366516,221,0.6245954692556634,618.0,0.33888118354137775
5924,"CARBON CONSERVANCY – FARMS WEST OF MUSINA (PLOT 1: LIMPOPO SAFARIS), SOUTH AFRICA",South Africa,VM0006,REDD,7667,1.0,1,0.05,20,0.04501607717041801,311.0,0.954983922829582
5922,Lamantin - Community-based mangrove conservation and restoration in Guinea,Guinea,VM0007; VM0033,REDD; WRC,80000,0.5,2,0.3333333333333333,3,0.29411764705882354,17.0,0.20588235294117646
5923,Balbuzard - Community-based mangrove conservation and restoration in Guinea,Guinea,VM0007; VM0033,REDD; WRC,118000,1.0,2,0.6666666666666666,3,0.35294117647058826,17.0,0.6470588235294117
5918,Family Forest Carbon Program - Fields & Forests,United States,VM0047,ARR,21922,0.4,5,0.28651685393258425,178,0.3756708407871199,559.0,0.11348314606741577
5919,Family Forest Carbon Program - North,United States,VM0045,IFM,100000,0.6666666666666666,3,0.5714285714285714,7,0.5961538461538461,156.0,0.09523809523809523
5907,Future Ecology Improved Agricultural Land Management Project,Kazakhstan,VM0042,ALM,249597,0.4,5,0.6018099547511312,221,0.7686084142394822,618.0,0.3686084142394822
5904,Future Ecology Soil Organic Carbon Enhancement Project,Kazakhstan,VM0042,ALM,570592,0.6,5,0.755656108597285,221,0.8802588996763754,618.0,0.2802588996763754
5905,Gunung Mas Community Forest Restoration Project,Indonesia,VM0047,ARR,445244,0.6,5,0.8539325842696629,178,0.8676207513416816,559.0,0.2676207513416816
5906,Arbonics Afforestation Project Five,United Kingdom,VM0047,ARR,2000,0.5,2,0.08426966292134831,178,0.1001788908765653,559.0,0.4157303370786517
5901,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",Colombia,VM0048,REDD,1338705,1.0,1,0.9310344827586207,29,0.8520900321543409,311.0,0.14790996784565913
5897,HARIT BHARAT - TELANGANA,India,VM0047,ARR,1892926,1.0,37,0.9606741573033708,178,0.9785330948121646,559.0,0.0393258426966292
5896,Project Sierra Verde,Philippines,VM0047,ARR,64788,0.5,6,0.4606741573033708,178,0.5670840787119857,559.0,0.10640992140861494
5895,BigCoast Forest Climate Initiative Haida Gwaii,Canada,VM0012,IFM,49688,0.5,6,0.7222222222222222,18,0.42948717948717946,156.0,0.29273504273504275
5891,Forest Landscape Restoration in North Sulawesi Province,Indonesia,VM0047,ARR,158764,0.4,5,0.6573033707865169,178,0.7209302325581395,559.0,0.32093023255813946
5888,Developing Voluntary Carbon Market Projects for Tree Plantations in the State of Assam,India,VM0047,ARR,54765,0.40540540540540543,37,0.42134831460674155,178,0.5366726296958855,559.0,0.13126722429048004
5889,Cabeceira do Xingu REDD Project,Brazil,VM0048,REDD,55041,0.18181818181818182,11,0.13793103448275862,29,0.17363344051446947,311.0,0.043887147335423204
5890,AgriCapture South Asia Rice Methane Project,India,VM0051,ALM,566547,1.0,2,0.875,8,0.8786407766990292,618.0,0.125
5879,Amazon Forest Landscape Restoration - Outgrowers Component,Peru,VM0047,ARR,5115,0.3333333333333333,3,0.15168539325842698,178,0.18246869409660108,559.0,0.18164794007490634
5874,East Coast Mangroves – Restoration Project in Sri Lanka,Sri Lanka,VM0033,WRC,97963,1.0,1,0.6818181818181818,44,0.7777777777777778,9.0,0.31818181818181823
5876,Kablaki Agroforestry for Small Farmers Program,Timor-Leste,VM0047,ARR,72103,1.0,1,0.48314606741573035,178,0.5831842576028623,559.0,0.5168539325842696
5877,Sierra Leone PRIDO ARR-Agroforestry Program,Sierra Leone,VM0047,ARR,80003,0.6666666666666666,3,0.5056179775280899,178,0.5992844364937389,559.0,0.16104868913857673
5873,Gunung Lumut Landscape Project,Indonesia,VM0007; VM0010; VM0048,ARR; IFM; REDD,941061,1.0,1,1.0,1,1.0,7.0,0.0
5872,Project Aranyam: Building Climate Resilient Communities in Maharashtra and Gujarat Through Agroforestry Practices,India,VM0047,ARR,297033,0.8108108108108109,37,0.7865168539325843,178,0.8103756708407871,559.0,0.024293956878226552
5862,Tubura Forest Landscape Restoration Program,Rwanda,VM0047,ARR,105000,1.0,1,0.5730337078651685,178,0.6547406082289803,559.0,0.4269662921348315
5863,One Acre Fund Munda Otsogola Program,Malawi,VM0047,ARR,92059,0.5,4,0.5337078651685393,178,0.627906976744186,559.0,0.12790697674418605
