resourceIdentifier,resourceName,country,protocols,protocolSubCategories,estAnnualEmissionReductions,n_peers,loo_mean,M1,M2,M4
6003,Arona 1,Uruguay,VM0047,ARR,29442,2,14741.0,58804.10854080456,2.0,1.0
5992,"ATMANIRBHAR KRISHAK PLANTATION PROJECT (KHARGONE, M.P.)",India,VM0047,ARR,339097,37,195994.47222222222,586683.7676861918,33.0,0.8918918918918919
5990,"ATMANIRBHAR KRISHAK PLANTATION PROJECT (KHANDWA, M.P.)",India,VM0047,ARR,354025,37,195579.80555555556,640831.5023577332,34.0,0.918918918918919
5985,Topraq Carbon Management Project in Northern Kazakhstan,Kazakhstan,VM0042,ALM,38000,5,857456.5,1684.0504445415015,1.0,0.2
5976,Venture Carbon Tropical Agricultural Soil Carbon Removal Project in Brazil,Brazil,VM0042,ALM,696686,15,1788660.357142857,271360.2840571226,6.0,0.4
5957,KENYA HIGHLANDS GROUPED CARBON PROJECT,Kenya,VM0042,ALM,191805,7,454517.1666666667,80941.18489473994,4.0,0.5714285714285714
5956,AgriCapture Southeast Asia Rice Methane Project,Indonesia,VM0051,ALM,53142,1,,,,
5953,MARCONDES REDD+,Brazil,VM0007,REDD,250213,38,759891.4324324324,82388.80279067604,17.0,0.4473684210526316
5949,Gran Pajonal REDD+ and Agroforestry Project,Peru,VM0048,REDD,129252,6,164322.0,101666.72450432688,3.0,0.5
5939,ALGARROBAL,Argentina,VM0047,ARR,43000,13,49664.833333333336,37229.56216504636,8.0,0.6153846153846154
5932,THAILAND CARBON PROGRAM OF IMPROVED AGRICULTURAL LAND MANAGEMENT IN THE AREAS OF THE NORTHEAST PROJECT,Thailand,VM0042,ALM,176000,1,,,,
5929,Agricentric Carbon Initiative,Kenya,VM0042,ALM,75000,7,473984.6666666667,11867.472506142954,2.0,0.2857142857142857
5924,"CARBON CONSERVANCY – FARMS WEST OF MUSINA (PLOT 1: LIMPOPO SAFARIS), SOUTH AFRICA",South Africa,VM0006,REDD,7667,1,,,,
5922,Lamantin - Community-based mangrove conservation and restoration in Guinea,Guinea,VM0007; VM0033,REDD; WRC,80000,2,118000.0,54237.28813559322,1.0,0.5
5923,Balbuzard - Community-based mangrove conservation and restoration in Guinea,Guinea,VM0007; VM0033,REDD; WRC,118000,2,80000.0,174050.0,2.0,1.0
5918,Family Forest Carbon Program - Fields & Forests,United States,VM0047,ARR,21922,5,2287533.0,210.08400053682286,2.0,0.4
5919,Family Forest Carbon Program - North,United States,VM0045,IFM,100000,3,128062.0,78087.17652387125,2.0,0.6666666666666666
5907,Future Ecology Improved Agricultural Land Management Project,Kazakhstan,VM0042,ALM,249597,5,804557.25,77432.23047085835,2.0,0.4
5904,Future Ecology Soil Organic Carbon Enhancement Project,Kazakhstan,VM0042,ALM,570592,5,724308.5,449498.01150200504,3.0,0.6
5905,Gunung Mas Community Forest Restoration Project,Indonesia,VM0047,ARR,445244,5,933389.5,212389.5967717657,3.0,0.6
5906,Arbonics Afforestation Project Five,United Kingdom,VM0047,ARR,2000,2,40000.0,100.0,1.0,0.5
5901,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",Colombia,VM0048,REDD,1338705,1,,,,
5897,HARIT BHARAT - TELANGANA,India,VM0047,ARR,1892926,37,152832.55555555556,23445062.659921933,37.0,1.0
5896,Project Sierra Verde,Philippines,VM0047,ARR,64788,6,250023.0,16788.395243637584,3.0,0.5
5895,BigCoast Forest Climate Initiative Haida Gwaii,Canada,VM0012,IFM,49688,6,189925.0,12999.327860997762,3.0,0.5
5891,Forest Landscape Restoration in North Sulawesi Province,Indonesia,VM0047,ARR,158764,5,1005009.5,25080.367594535175,2.0,0.4
5888,Developing Voluntary Carbon Market Projects for Tree Plantations in the State of Assam,India,VM0047,ARR,54765,37,203892.58333333334,14709.731840008893,15.0,0.40540540540540543
5889,Cabeceira do Xingu REDD Project,Brazil,VM0048,REDD,55041,11,422702.4,7167.008469788673,2.0,0.18181818181818182
5890,AgriCapture South Asia Rice Methane Project,India,VM0051,ALM,566547,2,1375.0,233436729.60654545,2.0,1.0
5879,Amazon Forest Landscape Restoration - Outgrowers Component,Peru,VM0047,ARR,5115,3,87660.5,298.4608232898512,1.0,0.3333333333333333
5874,East Coast Mangroves – Restoration Project in Sri Lanka,Sri Lanka,VM0033,WRC,97963,1,,,,
5876,Kablaki Agroforestry for Small Farmers Program,Timor-Leste,VM0047,ARR,72103,1,,,,
5877,Sierra Leone PRIDO ARR-Agroforestry Program,Sierra Leone,VM0047,ARR,80003,3,87488.0,73158.37610872349,2.0,0.6666666666666666
5873,Gunung Lumut Landscape Project,Indonesia,VM0007; VM0010; VM0048,ARR; IFM; REDD,941061,1,,,,
5872,Project Aranyam: Building Climate Resilient Communities in Maharashtra and Gujarat Through Agroforestry Practices,India,VM0047,ARR,297033,37,197162.91666666666,447490.8597450078,30.0,0.8108108108108109
5862,Tubura Forest Landscape Restoration Program,Rwanda,VM0047,ARR,105000,1,,,,
5863,One Acre Fund Munda Otsogola Program,Malawi,VM0047,ARR,92059,4,346492.6666666667,24458.98657114436,2.0,0.5
5858,Increasing Carbon Stocks through the Reforestation of the Communal Forests of Ndélélé and Bétaré-Oya,Cameroon,VM0047,ARR,73569,2,180881.0,29922.422813894216,1.0,0.5
5859,AgriCapture Latin America Rice Methane Project,Brazil,VM0051,ALM,46461,1,,,,
5853,Project Duiker | Forest Ecosystem Restoration in Eastern Guinea,Guinea,VM0047,ARR,109068,2,96181.0,123681.68998034955,2.0,1.0
5848,Lunga Luswishi Carbon Enhancement Project,Zambia,Methodology Under Development,ALM,18810,1,,,,
5845,Nunukan Mangrove & Peatland Project,Indonesia,VM0007; VM0033; VM0047,ARR; REDD; WRC,355275,1,,,,
5842,UNITÁN II: Afforestation and Reforestation Project with Variety of Native Species in the Argentine Chaco,Argentina,VM0047,ARR,1542,13,53119.666666666664,44.76240438255763,1.0,0.07692307692307693
5837,Amazon Highest-Deforestation Frontline (HDF) XARR Grouped Project,Brazil,VM0047,ARR,300000,16,324565.73333333334,277293.59805081086,14.0,0.875
5838,RIO BRANCO REDD+,Brazil,VM0048,REDD,60988,11,422107.7,8811.81779910672,3.0,0.2727272727272727
5836,Amazon Highest-Deforestation Frontline (HDF) XREDD Grouped Project,Brazil,VM0048,REDD,300000,11,398206.5,226013.38752632114,8.0,0.7272727272727273
5834,Delta Kapuas Project,Indonesia,VM0007; VM0033; VM0047; VM0048,ARR; REDD; WRC,2438716,1,,,,
5832,ZORÓ PANGYJEJ REDD+,Brazil,VM0048,REDD,241477,11,404058.8,144313.50469040644,6.0,0.5454545454545454
5831,IGARAPÉ LOURDES REDD+ PROJECT,Brazil,VM0048,REDD,52416,11,422964.9,6495.662065575654,1.0,0.09090909090909091
5821,"TREES FOR FARMERS, AGROFORESTRY PROJECT IN INDIA",India,VM0047,ARR,980163,37,178187.08333333334,5391633.829999836,36.0,0.972972972972973
5823,Forêts d'Avenir,Senegal,VM0047,ARR,20443,2,54497.0,7668.610180376902,1.0,0.5
5820,The Gamboma and Mbon Afforestation Project,Congo,VM0047,ARR,2757662,2,388968.0,19550964.876915324,2.0,1.0
