resourceIdentifier,resourceName,country,protocols,protocolSubCategories,regYear,estAnnualEmissionReductions,fitted_er,residual,over_promise_ratio
2897,Forest Conservation in Boumba-et-Ngoko,Cameroon,VM0010,IFM,2023.0,362095,789.0526221935742,6.128828873900879,458.89841794501905
2555,"Improving rural livelihood through agroforestry practices in Punjab, India- II",India,AR-ACM0003,ARR,2024.0,1571328,31470.284109884848,3.9106326616820635,49.93053111670016
3211,BISIGNANO AND MESORACA PROJECT OF AFFORESTATION OF THE AGRICULTURAL COMPANY GAIA SRL BAMBOO PLANTS,Italy,AR-ACM0003,ARR,2026.0,48643,1031.1480686585624,3.853835102118902,47.17363245734484
1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Colombia,VM0007,REDD,2016.0,3622352,99893.27716673288,3.5907764298358664,36.262220068662835
2552,"Improving rural livelihood through agroforestry practices in Punjab, India- I",India,AR-ACM0003,ARR,2024.0,1098123,31470.284109884848,3.552313898658376,34.89396524561653
1153,Shade Coffee & Cacao Reforestation Project,Peru,AR-ACM0003,ARR,2020.0,1969139,68271.62204633669,3.3618574799255256,28.84271591882677
2623,Komaza Smallholder Farmer Forestry Kenya,Kenya,AR-AMS0007,ARR,2023.0,286630,10910.695267232339,3.268448660088433,26.270553157214884
4268,Family Forest Carbon Project,United States,VM0003,IFM,2024.0,845991,38092.378224776,3.100494505724903,22.20893100997699
3115,Sustainable agricultural practices for carbon sequestration by Organic and Natural farming groups,India,VM0017,ALM,2025.0,686959,32646.460450907038,3.046538169682865,21.042373063169663
3772,RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT,Brazil,AR-ACM0003,ARR,2025.0,1062800,51771.51614508878,3.0218220972293697,20.528662846603165
2297,REDD+ Project Pueblos indígenas resguardando la selva,Colombia,VM0015,REDD,2024.0,2365816,119281.01053594482,2.9873961307434964,19.833970129613142
774,Reforestation Across the Lower Mississippi Valley,United States,AR-ACM0001,ARR,2020.0,101874,6377.918607188376,2.7708949485499463,15.972922558964711
1571,Manoa REDD+ Project,Brazil,VM0015,REDD,2020.0,2827041,191496.44346736182,2.6921166241189045,14.762890363976048
899,"TIST Program in Kenya, VCS 006",Kenya,AR-AMS0001,ARR,2012.0,233275,15837.386657270721,2.6898446261032856,14.729387180359502
2498,Afforestation of degraded grasslands in Caazapa and Guairá,Paraguay,AR-ACM0003,ARR,2022.0,204819,14647.038009407333,2.63788853093666,13.983646377407581
2611,CORAZÓN VERDE DEL CHACO PROJECT,Paraguay,VM0007,REDD,2023.0,1272472,91480.4276451587,2.632591700370279,13.909773191438958
5511,Brazil Cerrado 1,Brazil,VM0047,ARR,2026.0,351328,25474.439739528574,2.624044673745587,13.791392611270894
4592,Symbiosis Continuous Cover Forest Project,Brazil,AR-ACM0003,ARR,2025.0,687480,51771.51614508878,2.586192621552197,13.279116610634874
3291,Boomitra Grassland Restoration in the Temperate Grasslands of South America Through Soil Enrichment,Argentina,VM0042,ALM,2025.0,2418650,187424.42629537004,2.557589107852147,12.904668019035832
1969,Carbono Verde AR Project,Brazil,AR-ACM0003,ARR,2020.0,516780,40301.88070450391,2.5512191165598423,12.822726656085
3727,Corridors for Life ARR Grouped Project,Brazil,AR-ACM0003,ARR,2024.0,584276,49242.23648740313,2.4736217535075617,11.865342471791797
959,‘Guanaré’ Forest Plantations on degraded grasslands under extensive grazing,Uruguay,AR-ACM0001,ARR,2020.0,127416,11248.65015352218,2.427209188851574,11.327225779184134
2556,Southern Paraguay Sustainable Afforestation Project,Paraguay,AR-ACM0003,ARR,2023.0,170514,15399.368892916646,2.4044908771891613,11.072791436175835
3346,DEVELOPING CARBON FINANCE PROJECT FOR FARMERS ADOPTING REGENERATIVE AGRICULTURE PRACTICES IN THE INDO-GANGETIC PLAINS,India,VM0042,ALM,2026.0,4796219,459920.76812096126,2.34452894672515,10.428359257607111
3632,"Eastern Cape Bamboo Forestry Project, South Africa",South Africa,AR-ACM0003,ARR,2025.0,272471,27096.2656876486,2.3081362655347597,10.055666088489883
2338,"TIST Program in Kenya, VCS-CCB 010",Kenya,AR-AMS0007,ARR,2021.0,93619,9870.660121883144,2.2496666214778873,9.484573356187973
2929,"Bandai Hills Bamboo Reforestation Project, Ghana",Ghana,AR-ACM0003,ARR,2024.0,188926,20025.339590876294,2.24435695284199,9.43434687549949
3743,RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT,Brazil,AR-ACM0003,ARR,2025.0,487419,51771.51614508878,2.2422840061303795,9.414810233372664
2590,REGENERATIVE AGRICULTURE IN RICE-WHEAT-MAIZE SYSTEM FOR INCOME GENERATION,India,VM0042,ALM,2026.0,4267622,459920.76812096126,2.2277578109940634,9.279037381668305
2339,"TIST Program in Uganda, VCS-CCB 010",Uganda,AR-AMS0007,ARR,2021.0,83340,9063.892184090908,2.218629997298427,9.194725434430888
2887,Boomitra Grassland Restoration in Northern Mexico,Mexico,VM0042,ALM,2025.0,7294407,840310.9178443752,2.1610912054557243,8.680604815551042
2085,"Revegetation with fruit trees in North Manica Province, Mozambique",Mozambique,AR-ACM0003,ARR,2020.0,30799,3701.6278707506785,2.1187095339583024,8.320393371620595
3628,"Eastern Cape Restoration Project, South Africa - Somerset East",South Africa,AR-ACM0003,ARR,2025.0,218083,27096.2656876486,2.085479803386301,8.04845223005802
3018,BigCoast Forest Climate Initiative,Canada,VM0012,IFM,2023.0,715834,92705.37795442369,2.0440218110054964,7.721601656722894
641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,VM0010,IFM,2020.0,144582,19607.115719724297,1.9979542733728284,7.3739555611718
1085,EcoPlanet Bamboo Central America - Reforestation Project,Nicaragua,AR-ACM0001,ARR,2020.0,40815,5805.076226405006,1.9503169146760246,7.03091542783687
4304,Transformational Regenerative Integrated Biodiverse Agriculture for Livelihoods (TRIBAL),India,VM0017,ALM,2025.0,219473,32646.460450907038,1.9054927771240777,6.722719613969735
4709,Strengthening rural livelihood through carbon finance: Agroforestry practices in Gorakhpur Forest Circle of Uttar Pradesh,India,AR-AMS0007,ARR,2026.0,36813,5863.86844090311,1.837041514373647,6.27793757158889
2387,Liugui Afforestation Project,China,AR-ACM0003,ARR,2021.0,878138,141912.2175939226,1.8225950761957446,6.187895692763851
2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Colombia,AR-ACM0003,ARR,2022.0,139489,22710.656164650325,1.8151514962022457,6.142006597639303
3814,Chestnut Carbon Conservation Project,United States,VM0003,IFM,2023.0,221312,36231.38815667012,1.809647651331309,6.108294803472965
2539,EVERGREEN REDD+ PROJECT,Brazil,VM0007,REDD,2022.0,1566547,264640.802493277,1.7782556689072617,5.919521801781858
3627,"Eastern Cape Restoration Project, South Africa - Makhanda",South Africa,AR-ACM0003,ARR,2025.0,157919,27096.2656876486,1.762686322457995,5.828072466531241
3960,Belize Maya Forest REDD+ Project,Belize,VM0007,REDD,2024.0,736688,128221.70199580354,1.7484036522019029,5.745423657097536
4796,CACHOEIRA PORTEIRA CONSERVATION PROJECT,Brazil,VM0010,IFM,2025.0,567544,100309.85364372986,1.733054347535024,5.657908763537269
4888,OYU - Reforesting Uganda for a better tomorrow,Uganda,AR-ACM0003,ARR,2026.0,379891,69072.15011093706,1.7047327574042583,5.49991565905876
2928,"North Bandai Bamboo Reforestation Project, Ghana",Ghana,AR-ACM0003,ARR,2024.0,107907,20025.339590876294,1.6842712938874431,5.388522851775423
996,"TIST Program in Kenya, VCS 009",Kenya,AR-AMS0001,ARR,2013.0,88163,16650.85864312141,1.666725588609543,5.294802021301212
1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Brazil,VM0007,REDD,2020.0,1259646,239414.56999890727,1.6603893563381273,5.261358989161558
2082,Qianbei Afforestation Project,China,AR-ACM0003,ARR,2020.0,708123,134979.14489557903,1.6574975231683293,5.246165995108428
868,"REDD project in Brazil nut concessions in Madre de Dios, Peru",Peru,VM0007,REDD,2020.0,2086089,405569.6843329936,1.6377535933240388,5.143601902668873
2365,Integrated Project for Reforestation and Agroforestry on Degraded lands in Nicaragua,Nicaragua,AR-ACM0003,ARR,2022.0,29287,5695.184869506852,1.637522673464149,5.142414279966292
960,Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,Uruguay,AR-ACM0001,ARR,2020.0,56019,11248.65015352218,1.6054427838071454,4.9800642064114085
962,Forteko afforestation on degraded grasslands under extensive grazing,Uruguay,AR-ACM0001,ARR,2020.0,55965,11248.65015352218,1.6044783602433235,4.975263630407799
2087,Chudu Afforestation Project,China,AR-ACM0003,ARR,2020.0,668883,134979.14489557903,1.6004888726913347,4.955454418661886
3739,Selva de Urundel REDD+ Project,Argentina,VM0015,REDD,2024.0,317475,64066.69878592487,1.6004743658659617,4.95538253127142
2379,Huadu Afforestation Project,China,AR-ACM0003,ARR,2021.0,702405,141912.2175939226,1.599301480259351,4.949573841555419
4118,Ground-Truth Australian Orchards,Australia,VM0042,ALM,2025.0,850073,171871.03743417942,1.5985778149229688,4.945993302248776
4025,"Strengthening rural livelihoods of smallholder farmers in tribal districts of Odisha,India",India,AR-ACM0003,ARR,2025.0,159512,33086.72469216997,1.572987019272155,4.82102720907122
4475,Kijani Forestry smallholder farmer forestry project,Uganda,AR-ACM0003,ARR,2025.0,316293,65697.65391695655,1.5716057833518686,4.8143728298091455
2070,Guinan Afforestation Project,China,AR-ACM0003,ARR,2020.0,645768,134979.14489557903,1.5653200219020746,4.784205741557864
3656,Agoro Carbon USA Pastureland Program,United States,VM0042,ALM,2025.0,449980,96142.26365138878,1.543374129778634,4.680355786416935
2252,Rio Anapu-Pacaja REDD Project,Brazil,VM0015,REDD,2021.0,938000,201332.47232249012,1.5387923162925876,4.658960321599445
2404,Reforestation of degraded land by MTPL in India,India,AR-ACM0001,ARR,2022.0,146998,32077.518519661808,1.522263554115952,4.582586396447658
2278,The Jaguar Amazon REDD+ Project,Peru,VM0006,REDD,2021.0,3751851,819590.3647537585,1.5211999369233524,4.57771486994875
2558,ABC Norte REDD Project,Brazil,VM0015,REDD,2023.0,1004626,222546.13427922307,1.5072361867402435,4.51423702889182
1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,Colombia,VM0006,REDD,2020.0,1050286,234599.435506261,1.4989382569951832,4.476933193524116
